lat,lon,fullnamero
-9.441916,161.389,Ta’aru Island
-10.248976,161.737629,San Juan Island
-10.248976,161.737629,Uki Island
-10.248976,161.737629,Ugi Island
-10.248976,161.737629,Uki Ni Masi Island
-10.515172,161.465848,Philip Island
-10.515172,161.465848,Oroa Island
-10.213027,161.734556,Oneporahu Beach
-10.252661,161.704605,Ngotongoto Point
-9.242853,161.252764,Roho’a Point
-9.446209,161.236939,Re’ehunihusi Island
-9.320434,161.332961,Pyramid Rock
-9.320434,161.332961,Pyramid Island
-9.320434,161.332961,Rau’ahu Island
-10.340833,161.366568,Monogai Island
-10.340833,161.366568,Monagai Island
-10.479672,161.509212,Marautera Island
-10.479672,161.509212,Marautewa
-10.479672,161.509212,Marauteva Island
-10.528316,161.505215,Marau Island
-11.298246,159.792527,Bellona
-11.298246,159.792527,Mu Ngiki
-11.298246,159.792527,Mo Ngiki
-10.269421,161.741858,Ngali’au Hill
-10.616756,162.189968,Natehe Point
-10.590292,162.159731,Natamameda Point
-10.590292,162.159731,Natamameta Point
