RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
5,-1544896,-2199732,-9.281938,159.759872,9:16:55S,159:45:36E,57LWK8345773888,SC57-07,T,PT,,BP,0,,,,V,,,,ARULIGOPOINT,Aruligo Point,Aruligo Point,ARULIGOPOINT,Aruligo Point,Aruligo Point,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1544896,-2199730,-9.281938,159.759872,9:16:55S,159:45:36E,57LWK8345773888,SC57-07,T,PT,,BP,0,,,,V,,,,ARULIGHOPOINT,Aruligho Point,Aruligho Point,ARULIGHOPOINT,Aruligho Point,Aruligho Point,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1551927,-2208925,-9.13887,159.142518,9:08:20S,159:08:33E,57LWK1565989792,SC57-07,T,ISL,,BP,0,,,,N,,,,TAINA,Taina,Taina,TAINA,Taina,Taina,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551927,-2208922,-9.13887,159.142518,9:08:20S,159:08:33E,57LWK1565989792,SC57-07,T,ISL,,BP,0,,,,V,,,,TAIENA,Taiena,Taiena,TAIENA,Taiena,Taiena,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1551188,-2200267,-9.074684,159.157172,9:04:29S,159:09:26E,57LWK1727296887,SC57-07,T,ISLS,,BP,0,,,,V,,,,CAPEMARSH,Cape Marsh,Cape Marsh,CAPEMARSH,Cape Marsh,Cape Marsh,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1551188,-2207953,-9.074684,159.157172,9:04:29S,159:09:26E,57LWK1727296887,SC57-07,T,ISLS,,BP,0,,,,N,,,,RUSSELLISLANDS,Russell Islands,Russell Islands,RUSSELLISLANDS,Russell Islands,Russell Islands,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551188,-2207150,-9.074684,159.157172,9:04:29S,159:09:26E,57LWK1727296887,SC57-07,T,ISLS,,BP,0,,,,V,,,,PAVUVUISLANDS,Pavuvu Islands,Pavuvu Islands,PAVUVUISLANDS,Pavuvu Islands,Pavuvu Islands,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1551188,-2203675,-9.074684,159.157172,9:04:29S,159:09:26E,57LWK1727296887,SC57-07,T,ISLS,,BP,0,,,,V,,,,LAUMBE,Laumbe,Laumbe,LAUMBE,Laumbe,Laumbe,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1551188,-2209560,-9.074684,159.157172,9:04:29S,159:09:26E,57LWK1727296887,SC57-07,T,ISLS,,BP,0,,,,V,,,,THECAPE,The Cape,The Cape,THECAPE,The Cape,The Cape,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1553493,-2210896,-10.223972,166.067201,10:13:26S,166:04:02E,58LFP1688669631,SC58-11,T,PT,,BP,0,,,,N,,,,WESTPOINT,West Point,West Point,WESTPOINT,West Point,West Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
